iter	Passed	Remaining
0	18	18434
1	21	10702
2	23	7881
3	25	6473
4	28	5663
5	31	5177
6	35	4987
7	37	4607
8	40	4450
9	43	4301
10	47	4271
11	51	4249
12	54	4117
13	56	3978
14	61	4038
15	64	3939
16	66	3828
17	68	3717
18	70	3645
19	73	3587
20	75	3542
21	77	3453
22	80	3429
23	83	3399
24	86	3361
25	88	3327
26	93	3354
27	95	3320
28	98	3291
29	101	3271
30	104	3266
31	107	3253
32	110	3231
33	113	3225
34	114	3166
35	117	3137
36	121	3152
37	124	3149
38	127	3137
39	129	3110
40	132	3090
41	135	3092
42	138	3078
43	140	3060
44	143	3051
45	146	3044
46	149	3027
47	151	3005
48	155	3017
49	158	3006
50	160	2987
51	162	2969
52	165	2962
53	168	2947
54	170	2927
55	172	2911
56	177	2934
57	180	2931
58	183	2925
59	186	2924
60	189	2916
61	192	2913
62	195	2902
63	198	2900
64	202	2915
65	205	2911
66	209	2911
67	211	2898
68	214	2895
69	217	2893
70	220	2884
71	222	2869
72	224	2855
73	227	2843
74	230	2844
75	234	2845
76	236	2834
77	239	2830
78	241	2818
79	244	2806
80	246	2796
81	248	2786
82	251	2776
83	253	2764
84	256	2756
85	259	2757
86	264	2773
87	267	2767
88	269	2756
89	272	2759
90	275	2750
91	277	2740
92	279	2728
93	282	2724
94	284	2712
95	286	2702
96	289	2691
97	292	2695
98	294	2683
99	297	2678
100	299	2670
101	302	2667
102	305	2658
103	307	2648
104	309	2638
105	311	2628
106	314	2621
107	316	2616
108	319	2611
109	322	2608
110	325	2606
111	328	2600
112	330	2591
113	332	2583
114	334	2577
115	337	2572
116	339	2563
117	341	2554
118	344	2549
119	347	2546
120	349	2540
121	351	2531
122	354	2524
123	356	2521
124	359	2515
125	362	2513
126	364	2506
127	367	2504
128	370	2502
129	372	2495
130	375	2488
131	378	2485
132	380	2480
133	383	2477
134	386	2474
135	389	2473
136	391	2468
137	394	2463
138	401	2485
139	404	2481
140	406	2479
141	410	2481
142	412	2473
143	415	2469
144	418	2468
145	422	2474
146	427	2479
147	429	2470
148	432	2469
149	435	2467
150	438	2466
151	441	2462
152	444	2462
153	447	2457
154	452	2464
155	454	2460
156	457	2457
157	460	2454
158	463	2449
159	465	2444
160	468	2439
161	471	2436
162	474	2435
163	477	2431
164	479	2427
165	483	2430
166	487	2429
167	489	2424
168	492	2423
169	496	2421
170	498	2417
171	501	2416
172	505	2414
173	508	2412
174	510	2407
175	513	2406
176	517	2407
177	520	2404
178	523	2401
179	526	2398
180	529	2395
181	531	2388
182	534	2386
183	537	2382
184	539	2377
185	542	2372
186	545	2372
187	549	2373
188	552	2369
189	553	2361
190	558	2363
191	560	2360
192	563	2356
193	566	2354
194	569	2349
195	571	2344
196	574	2341
197	580	2349
198	582	2343
199	585	2340
200	588	2337
201	590	2332
202	592	2327
203	595	2325
204	598	2322
205	601	2319
206	604	2314
207	607	2313
208	610	2310
209	613	2306
210	616	2304
211	619	2302
212	622	2299
213	624	2294
214	627	2291
215	629	2286
216	632	2281
217	634	2276
218	636	2271
219	639	2268
220	642	2263
221	644	2258
222	647	2255
223	650	2253
224	655	2257
225	661	2265
226	664	2263
227	668	2262
228	670	2258
229	673	2254
230	676	2250
231	678	2246
232	681	2244
233	684	2240
234	686	2235
235	689	2232
236	692	2227
237	694	2223
238	697	2221
239	702	2225
240	707	2227
241	712	2230
242	716	2230
243	719	2227
244	723	2230
245	726	2226
246	728	2221
247	731	2216
248	734	2214
249	736	2210
250	739	2206
251	741	2201
252	744	2198
253	748	2196
254	750	2191
255	755	2196
256	759	2196
257	762	2193
258	765	2191
259	768	2188
260	772	2186
261	776	2185
262	779	2183
263	781	2179
264	783	2174
265	786	2171
266	789	2167
267	792	2164
268	797	2168
269	801	2165
270	803	2161
271	807	2160
272	810	2158
273	813	2155
274	817	2154
275	819	2150
276	822	2145
277	824	2140
278	828	2139
279	831	2137
280	833	2132
281	836	2130
282	840	2129
283	843	2125
284	845	2120
285	848	2118
286	851	2115
287	854	2111
288	856	2107
289	859	2104
290	861	2098
291	864	2096
292	866	2091
293	871	2091
294	874	2090
295	877	2086
296	880	2083
297	882	2080
298	886	2077
299	892	2082
300	896	2082
301	899	2078
302	902	2075
303	904	2070
304	906	2065
305	908	2061
306	913	2061
307	915	2056
308	917	2051
309	919	2047
310	922	2043
311	927	2044
312	930	2041
313	933	2039
314	936	2036
315	938	2032
316	941	2028
317	943	2024
318	946	2020
319	948	2015
320	950	2011
321	953	2006
322	955	2002
323	957	1998
324	960	1994
325	962	1990
326	965	1987
327	968	1983
328	970	1979
329	973	1976
330	977	1975
331	981	1975
332	984	1971
333	986	1967
334	989	1963
335	993	1962
336	995	1958
337	998	1954
338	1000	1950
339	1002	1946
340	1004	1941
341	1006	1936
342	1009	1933
343	1011	1929
344	1013	1924
345	1016	1920
346	1018	1916
347	1020	1912
348	1024	1910
349	1027	1907
350	1031	1907
351	1033	1902
352	1035	1897
353	1037	1893
354	1040	1889
355	1042	1885
356	1044	1881
357	1047	1877
358	1052	1878
359	1054	1874
360	1056	1870
361	1060	1868
362	1063	1865
363	1065	1861
364	1067	1856
365	1069	1853
366	1072	1850
367	1075	1846
368	1077	1842
369	1079	1838
370	1082	1835
371	1086	1834
372	1089	1831
373	1091	1827
374	1094	1823
375	1096	1819
376	1098	1815
377	1100	1810
378	1103	1808
379	1105	1804
380	1108	1800
381	1110	1796
382	1115	1796
383	1118	1794
384	1120	1790
385	1125	1790
386	1128	1787
387	1130	1783
388	1133	1779
389	1136	1777
390	1138	1772
391	1140	1768
392	1142	1764
393	1144	1759
394	1147	1756
395	1149	1753
396	1153	1751
397	1155	1748
