RecordID,EmployeeID,Month,DaysAbsent,DaysPresent,OvertimeHours,RemoteDays
6e24c611-7884-4ae8-97a1-06e9821851e5,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-07,1,21,11,2
6bf5a455-b43d-4f45-af16-0047f50c998b,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-06,0,22,9,5
d19147d9-d9be-47b7-bab5-c17e308084c3,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-05,1,21,13,6
0a46b185-7495-42aa-9013-40ce9279c4ae,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-04,0,22,14,4
437c7704-7c92-4c59-848e-67f45b583975,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-03,1,21,10,7
c9e94efa-1085-4aa1-9483-a6c5d3103b26,d85264b7-130e-4f14-970d-b80f9f87f4c4,2026-02,0,22,7,4
33267cc4-2c91-415c-8bf5-6f5cc869fcc1,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-07,3,19,6,10
8334bf24-b212-4a17-a982-128cfefb879b,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-06,3,19,8,2
0f9f9aa9-8b7c-40c2-b123-86af451271d4,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-05,3,19,6,6
b2794968-b724-447a-9531-01bc46b564ff,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-04,3,19,6,1
3c181a77-4df0-49a0-8ecc-bf4e1f697b00,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-03,2,20,9,6
1833b97b-6128-41d2-82ef-39da97cf0083,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-02,3,19,7,8
2656aeb8-ac68-413a-a41e-b05facc0cfcf,39bb11e3-8432-4211-9125-6accd0d799c0,2026-07,1,21,10,10
116584d3-6f35-4171-92e6-5648f45481f3,39bb11e3-8432-4211-9125-6accd0d799c0,2026-06,0,22,10,3
7288dd95-0ced-40c7-b12d-6b2807f95725,39bb11e3-8432-4211-9125-6accd0d799c0,2026-05,0,22,13,8
9254cbdc-57ef-443e-a914-3f009586a3a3,39bb11e3-8432-4211-9125-6accd0d799c0,2026-04,0,22,10,5
d4bcad52-803e-4f02-a041-02f2289bd24d,39bb11e3-8432-4211-9125-6accd0d799c0,2026-03,1,21,7,10
4f5c3516-1904-4a7c-b5b1-8ff0522ca2d0,39bb11e3-8432-4211-9125-6accd0d799c0,2026-02,0,22,11,3
c50a6f37-020f-4d55-b05b-3249e8e2039e,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-07,6,16,1,0
b6ed1e32-1476-4e8d-8b32-b1fe20d2c2f0,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-06,6,16,1,3
d3eedbaa-ec63-4618-ad4c-20ef53424af3,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-05,4,18,2,4
042aea15-4ef0-4f9f-8f03-ad0a0943ba6f,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-04,6,16,3,1
7f128092-42ef-497f-9621-ef36d2a06d47,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-03,4,18,1,10
908a81ac-f01d-496b-95d7-ad2ff19baeb7,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-02,3,19,2,5
a235104f-f8a3-46c0-bad1-6f3c05adcb16,a344149f-bc18-412b-940e-29c201e37a54,2026-07,1,21,15,7
1655614f-be5a-420e-b5fd-82392dde48f2,a344149f-bc18-412b-940e-29c201e37a54,2026-06,0,22,8,8
dda8a5bd-7538-4ac8-8615-dc651c047f26,a344149f-bc18-412b-940e-29c201e37a54,2026-05,0,22,5,1
4555c31e-e93e-46eb-bb25-f815d11e7835,a344149f-bc18-412b-940e-29c201e37a54,2026-04,1,21,9,5
dbc895aa-fd86-42bc-beda-714515b40f5c,a344149f-bc18-412b-940e-29c201e37a54,2026-03,0,22,5,10
5ab894d9-e456-402d-8b3a-453a1513410e,a344149f-bc18-412b-940e-29c201e37a54,2026-02,1,21,6,4
53ed8cb6-b4b2-4dde-91b6-6dede09f514c,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-07,1,21,14,9
cb70559d-906e-47e4-a1cf-d492fe318863,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-06,0,22,15,8
2ad7dc4d-4c63-48e5-9021-f4c9b0be10d6,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-05,0,22,11,4
c63a4b27-1e51-45b0-a89c-33ab1f8cfca9,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-04,1,21,7,6
c24f826e-7a84-49e8-949a-eb9c5f0ffafc,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-03,0,22,13,2
7f7645a8-d6f6-40fa-8d24-31d71771a5cb,7005687a-9bf2-49a1-ada1-97c42963f3ed,2026-02,1,21,10,6
9d30cd59-aa72-48b0-b2cd-917009ab7809,7e265d70-9188-4135-8f84-55b39076442e,2026-07,1,21,8,10
442a8463-1995-4de1-a6a6-0dfd3541156b,7e265d70-9188-4135-8f84-55b39076442e,2026-06,3,19,4,4
9a031bdb-c829-4f6e-963a-07b128c5ec0d,7e265d70-9188-4135-8f84-55b39076442e,2026-05,3,19,2,9
8d538b3c-0165-4751-a935-e6c4d07129b7,7e265d70-9188-4135-8f84-55b39076442e,2026-04,3,19,4,4
7299a1a5-c2c5-41cd-a00a-c0197e823af4,7e265d70-9188-4135-8f84-55b39076442e,2026-03,3,19,8,8
53d46192-b31a-495c-934d-acb25e3d7f2c,7e265d70-9188-4135-8f84-55b39076442e,2026-02,1,21,3,4
423038eb-ebd0-40f9-b2cc-cfc85bf301cc,36f9d437-0f3f-4390-b929-2ead8cea5fb5,2026-07,3,19,3,8
a797a1e8-4d98-40ff-bea0-c7873459aa58,36f9d437-0f3f-4390-b929-2ead8cea5fb5,2026-06,5,17,0,0
6eec3413-46d0-4fa5-8db9-c543db6a491f,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-07,0,22,12,5
c78dda65-91a6-465f-828e-51711d2b6cbd,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-06,1,21,10,0
e09d931c-ccef-4f8d-9ef2-936706e0af13,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-05,1,21,13,0
a9390fd5-c43e-4e9e-aee9-dffc1e8df4ca,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-04,1,21,8,5
d850d77d-541b-4269-81ad-47acfdfd2e6a,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-03,0,22,13,9
c1c78768-3f00-4128-97e5-57c1f32e66e7,93893360-8fd5-40d9-a827-3d8dc0d2f698,2026-02,1,21,9,7
688ffdf3-a4f6-42d5-beb6-38c2d4d80c44,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-07,0,22,11,1
9f1daabb-3712-4239-9cb8-8537b3f9e513,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-06,0,22,13,6
50faab35-2419-4e10-9a77-8869bfcccb52,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-05,0,22,13,3
fb5d043e-b9d0-4091-bfb2-40e1102820b3,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-04,1,21,7,9
b4074e52-679b-4235-95a0-5b68f5d93bfe,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-03,1,21,9,7
9202f50b-996c-45e0-83ef-270574a9fdbf,ddf2f671-973b-4de9-afc4-04e64c763b88,2026-02,1,21,8,0
995ade72-add8-475a-b058-c60a7fdbceef,555ee223-e3a0-411a-bd41-37eb57af5802,2026-07,1,21,10,1
ff5d7c0a-ee4b-4f2b-b111-ea09d6808063,555ee223-e3a0-411a-bd41-37eb57af5802,2026-06,1,21,10,1
271ce945-3338-4ca3-8677-cb403fb2ccff,555ee223-e3a0-411a-bd41-37eb57af5802,2026-05,1,21,11,10
a82922e9-41eb-4653-b156-a5c1f696ef4a,555ee223-e3a0-411a-bd41-37eb57af5802,2026-04,1,21,12,10
e09983f8-b4d5-4da0-aa73-9503b86276a2,555ee223-e3a0-411a-bd41-37eb57af5802,2026-03,1,21,8,2
8020336d-92e1-43ef-b87a-2246a0ae4439,555ee223-e3a0-411a-bd41-37eb57af5802,2026-02,0,22,5,2
cc911109-4d4a-4c1b-a76c-1afcb827028e,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-07,1,21,6,2
9d3aabb7-9bc0-4bd6-a355-175c489d003f,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-06,1,21,12,1
15f06544-86cb-4854-8c3e-621a0012bd7e,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-05,0,22,8,4
1e14ba18-1cba-4f23-9a40-d036bf858a17,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-04,0,22,10,8
a88883d8-4fde-477d-9c2c-51363af1374e,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-03,0,22,12,0
8d4916d9-b9f7-47ec-9c32-4c8bcee7ddc4,5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,2026-02,1,21,8,1
32db0bbe-bad4-49a1-aed9-8eda89db624b,d4ebadd9-8f6f-4097-bfeb-370bc1312ecf,2026-07,6,16,4,8
2d1a1508-5fb6-4e40-8a67-9d03d1c2148d,d4ebadd9-8f6f-4097-bfeb-370bc1312ecf,2026-06,6,16,5,8
c1eb3cc4-818d-48d6-ae06-2fcf41057a4a,d4ebadd9-8f6f-4097-bfeb-370bc1312ecf,2026-05,4,18,0,9
d13786b0-b8cc-43c5-87fc-aa9d55ea4001,d4ebadd9-8f6f-4097-bfeb-370bc1312ecf,2026-04,2,20,2,7
93204c11-2614-4fb8-9718-b240af87df69,8565ea1d-4f56-4a49-b00a-1ff7618021be,2026-07,1,21,12,5
f2a92a91-e062-48b7-ae71-99f5e86228d1,8565ea1d-4f56-4a49-b00a-1ff7618021be,2026-06,0,22,10,7
e840dcb4-a707-4de5-96ca-a717aeed35c8,95fee654-165a-4426-8f15-5aa7615c5e52,2026-07,1,21,15,7
c7122ffd-88bc-4eb7-bb30-8d06cbb3252e,95fee654-165a-4426-8f15-5aa7615c5e52,2026-06,0,22,14,0
2adf6f30-3547-492b-8d94-b5c8d21176ea,95fee654-165a-4426-8f15-5aa7615c5e52,2026-05,1,21,13,6
