SurveyID,EmployeeID,SurveyDate,EngagementScore,JobSatisfaction,WorkLifeBalance
bf5f5006-1338-486e-a281-436b0ce09d9b,d85264b7-130e-4f14-970d-b80f9f87f4c4,2023-06-01,5,3,5
4a121e3e-8ae8-45ab-9655-0fecbbf14770,d85264b7-130e-4f14-970d-b80f9f87f4c4,2023-12-01,4,5,2
b610131e-4777-4265-a551-4166f7a6d4c6,d85264b7-130e-4f14-970d-b80f9f87f4c4,2024-06-01,5,3,5
6a12e11e-18a0-4244-9f23-21e7f56d490c,39bb11e3-8432-4211-9125-6accd0d799c0,2023-06-01,3,4,2
79da2f97-1666-4365-9e32-7928a6825d2a,39bb11e3-8432-4211-9125-6accd0d799c0,2023-12-01,4,4,5
856e779b-e584-4b5c-8787-0785fce440c7,39bb11e3-8432-4211-9125-6accd0d799c0,2024-06-01,5,3,3
01505ca5-470d-4d18-913f-d66d49a8992e,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2023-06-01,3,5,3
76440afa-da1f-47c2-9812-44af4c93ece2,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2023-12-01,3,4,5
644f34fb-5371-4d79-bc3a-02fc581dfa89,a344149f-bc18-412b-940e-29c201e37a54,2023-06-01,3,4,4
6334ea7f-c26c-4776-8f1c-45c85e16bb55,a344149f-bc18-412b-940e-29c201e37a54,2023-12-01,2,4,3
592eeadd-070b-461e-996c-7e8550552502,a344149f-bc18-412b-940e-29c201e37a54,2024-06-01,4,4,2
6817f6e7-364a-40c6-b22d-5e096d8b8f02,7005687a-9bf2-49a1-ada1-97c42963f3ed,2023-06-01,4,2,4
7676ccb2-a45b-42a5-9177-9bade41cd349,7005687a-9bf2-49a1-ada1-97c42963f3ed,2023-12-01,3,4,2
f1fc3873-337a-4fcf-a932-2d0b6d2d1994,7005687a-9bf2-49a1-ada1-97c42963f3ed,2024-06-01,3,2,4
c80f027c-4593-4b73-aa62-4e4d52190727,7e265d70-9188-4135-8f84-55b39076442e,2024-06-01,4,5,4
