NoteID,EmployeeID,ManagerID,Date,NoteText
690200b6-a437-450b-8447-7bd71363ead9,0756f919-39b6-4378-a8b0-33707bc84ccf,d85264b7-130e-4f14-970d-b80f9f87f4c4,2025-03-19,"Great team player, always willing to help peers."
b432f9d4-23db-4cf0-b394-94f2cfa68b9d,7005687a-9bf2-49a1-ada1-97c42963f3ed,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2019-03-10,"Frequently arrives late to meetings, need to address punctuality."
8b963a29-79c9-4a12-b0d2-aea4173f9095,7005687a-9bf2-49a1-ada1-97c42963f3ed,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2025-06-27,"Frequently arrives late to meetings, need to address punctuality."
22055c4e-960d-4245-8f71-eac909c17ac9,7e265d70-9188-4135-8f84-55b39076442e,0d205fb6-4ff1-4243-8a06-e774efadaa12,2025-07-05,Needs to work on communication skills with cross-functional teams.
d864895d-c1d6-4753-b05f-f4e7f284da75,7e265d70-9188-4135-8f84-55b39076442e,0d205fb6-4ff1-4243-8a06-e774efadaa12,2026-04-17,"Highly motivated, took initiative on the last project."
4af62ba3-f9e8-48a0-9930-5744266864c7,93893360-8fd5-40d9-a827-3d8dc0d2f698,39bb11e3-8432-4211-9125-6accd0d799c0,2023-04-23,"Great team player, always willing to help peers."
7e91b4aa-14cf-483f-920c-43ce997febac,93893360-8fd5-40d9-a827-3d8dc0d2f698,39bb11e3-8432-4211-9125-6accd0d799c0,2024-01-12,"Highly motivated, took initiative on the last project."
a309f755-3dca-46bc-ae29-327c932bdde5,555ee223-e3a0-411a-bd41-37eb57af5802,0d205fb6-4ff1-4243-8a06-e774efadaa12,2024-12-31,Requires too much supervision for senior-level tasks.
e9e0a311-331d-4508-952d-385417187448,555ee223-e3a0-411a-bd41-37eb57af5802,0d205fb6-4ff1-4243-8a06-e774efadaa12,2022-12-23,Needs to work on communication skills with cross-functional teams.
8b072754-3267-46e0-bbfb-b26801a90a1d,f9bec295-192b-427e-b468-b90a36d3ed6e,0756f919-39b6-4378-a8b0-33707bc84ccf,2022-07-04,Needs to work on communication skills with cross-functional teams.
dbd0c439-b719-4a3c-ab90-93534b9517b9,f9bec295-192b-427e-b468-b90a36d3ed6e,0756f919-39b6-4378-a8b0-33707bc84ccf,2021-01-11,Requires too much supervision for senior-level tasks.
33a7eff0-bec9-4daa-8658-d7bf15e642e9,c928550c-2338-463b-930a-29020041a190,39bb11e3-8432-4211-9125-6accd0d799c0,2026-02-25,Has expressed interest in moving to a management role.
9ac143ba-dc7c-4004-b751-144e73c8f57d,254e5290-7c0b-4c32-a48f-ce956be85d4a,0756f919-39b6-4378-a8b0-33707bc84ccf,2025-07-22,Needs to work on communication skills with cross-functional teams.
dce135eb-6c2f-4bee-8a86-585072aef78a,526dd8a4-62c4-44d0-8e3b-c6005383a6e8,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2023-12-18,"Struggling with the new tech stack, suggested additional training."
ddd84ba0-edd5-4465-a10d-463191ef49de,526dd8a4-62c4-44d0-8e3b-c6005383a6e8,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2025-12-02,"Going through some personal issues, performance slightly dipped but expected to recover."
f9e023fa-232c-452b-8013-827a7465e4d9,ce210808-0643-4154-b355-0f4fdb9309a7,41fe4ef1-e753-4584-83eb-8d980c5e1e82,2026-05-25,Needs to work on communication skills with cross-functional teams.
8adc1aa8-afbe-4786-8fea-68eafae3286a,543b70df-c750-4d2d-8b42-9ad31bebe5d1,0756f919-39b6-4378-a8b0-33707bc84ccf,2026-05-23,"Frequently arrives late to meetings, need to address punctuality."
31d08758-e14a-472b-ae11-f3b547bc4dd6,543b70df-c750-4d2d-8b42-9ad31bebe5d1,0756f919-39b6-4378-a8b0-33707bc84ccf,2024-12-25,Requires too much supervision for senior-level tasks.
